hosp_name,hosp_addr,phone,district
景安護理之家,新北市中和區泰安里景安路42號5樓、46號4-5樓、50號3-4樓,02-2240-9359,中和
新北市私立宜安老人長期照顧中心(養護型),新北市中和區泰安里景安路48號7樓,02-2240-9359,中和
新北市私立桐心老人長期照顧中心(養護型),新北市板橋區港尾里中正路302號2樓,02-2968-8657,板橋
新北市私立圓滿老人長期照顧中心(養護型),新北市三重區中興里重新路五段639號10樓及639-1號10樓,02-2999-8867,三重
新北市私立愛鄰田園老人長期照顧中心(養護型),新北市鶯歌區永昌里建國路596巷40號,02-8677-3288,鶯歌
海山護理之家,新北市板橋區長安里漢生東路163號4樓、4樓之1、5樓、5樓之1,02-2956-2767,板橋
新北市私立景頤老人長期照顧中心(養護型),新北市新莊區思源路87巷18號3樓之1,02-2277-2203,新莊
新北市私立中山老人長期照顧中心(養護型),新北市中和區中原里橋安街6號2~3樓,02-2443-8323,中和
新北市私立福泰老人長期照顧中心(養護型),新北市中和區碧河里中山路二段371號4樓,02-2223-3325,中和
新北市私立寶安老人長期照顧中心(養護型),新北市永和區上林里竹林路73號2~3樓,02-8928-1517,永和
三芳護理之家,新北市板橋區崑崙里大觀路三段236號6樓,02-2687-6363,板橋
新北市私立蓮愛老人養護中心,新北市三重區溪美里溪尾街41號2樓,02-2989-6770,三重
新北市私立宏德老人長期照顧中心(養護型),新北市永和區協和里永平路81巷12號2樓,02-2923-1336,永和
新北市私立再芳老人長期照顧中心(養護型),新北市五股區成泰路四段10號3樓之2,02-2292-3158,五股
上和長照社團法人附設新北市私立迎和住宿長照機構,新北市板橋區忠翠里莒光路167號2樓之9,02-8257-0118,板橋
新北市私立慈美老人養護中心,新北市中和區連和里中山路二段315巷2號6樓,02-2246-7727,中和
新北市私立慈美護理之家,新北市中和區連和里中山路二段315巷2號4樓、317號6樓,02-2246-7725,中和
詠靜護理之家,新北市深坑區萬順里北深路三段99、101、103號3-4樓、105號1、3、4樓,02-2662-8011,深坑
新北市私立長勤老人長期照顧中心(養護型),新北市三芝區埔頭里長勤街63號,02-2636-6887,三芝
新北市私立捷安護理之家,新北市蘆洲區中山一路300號,02-2282-9859,蘆洲
私立再生護理之家,新北市新店區寶高路6號,02-2915-0111,新店
新北市私立一德老人長期照顧中心(養護型),新北市中和區中原里中山路二段560號7樓,02-2228-6655,中和
新北市私立保安老人長期照顧中心(養護型),新北市樹林區保安街二段64號4樓,02-2686-3810,樹林
新北市私立忠祥老人長期照顧中心(養護型),新北市中和區連和里中山路二段327巷1號4樓,02-2247-3386,中和
新北市私立連旺老人長期照顧中心(養護型),新北市板橋區香丘里中山路一段311號、313號、315之1號,02-8952-0509,板橋
元復醫院附設護理之家,新北市土城區慶樂街25號,02-2262-0582,土城
新北市私立雙和老人長期照顧中心(養護型),新北市中和區福和里中山路二段133號2樓,02-8245-8280,中和
新北市私立瑞昇老人長期照顧中心(養護型),新北市板橋區鄉雲里四川路二段16巷1號1樓,02-8967-5498,板橋
