序號,機構名稱,郵遞區號,地址,電話,104年評鑑成績,105年評鑑成績,106年評鑑成績,107年評鑑成績,108年評鑑成績
1,臺北市至善老人安養護中心,11149,臺北市士林區仰德大道2段2巷50號,02-28832666*153,,甲等,,,
2,臺北市私立永青老人長期照顧中心(養護型),11155,臺北市士林區中山北路六段427巷8號1-4樓,02-28761908,,,,甲等,
3,臺北市私立松園老人長期照顧中心(養護型),11147,臺北市士林區德行東路61巷1、2、3號1、2樓,02-88662097,,甲等,,,
4,臺北市私立柏安老人養護所,11161,臺北市士林區中山北路6段290巷52號、54號1樓,02-28333536,,優等,,,
5,臺北市私立祇福老人養護所,11147,臺北市士林區忠誠路2段10巷11號、13號1-2樓,02-28317713,,,甲等,,
6,臺北市私立祐心老人長期照顧中心(養護型),11145,臺北市士林區至誠路1段305巷3弄14號1-2樓,02-28310432,,乙等,,,
7,臺北市私立上美老人長期照顧中心(養護型),11164,臺北市士林區重慶北路4段162號1-4樓,02-28122366,,乙等,,,
8,臺北市私立荷園老人長期照顧中心(養護型),11165,臺北市士林區葫蘆街33號2~3樓,02-28163696,甲等,,,乙等,優等
9,臺北市私立璞園老人長期照顧中心(養護型),11165,臺北市士林區葫蘆街33號4、5、6樓,02-28163696,甲等,,,甲等,
10,臺北市私立天玉老人長期照顧中心(長期照護型),11156,臺北市士林區天玉街38巷18弄18號1-6樓,02-28720239,,,甲等,,
11,臺北市私立敦煌老人長期照顧中心(養護型),10368,臺北市大同區敦煌路80巷3號及3-1號1樓,02-25945133,優等,,,甲等,
12,臺北市私立建順老人長期照顧中心(養護型),10346,臺北市大同區甘州街55號3樓,02-25520199,,甲等,,,
13,臺北市私立仁家老人長期照顧中心(養護型),10346,臺北市大同區甘州街55號5~6樓,02-25530799,,優等,,,
14,臺北市私立慧光老人養護所,10356,臺北市大同區寧夏路32號5樓,02-25582275,,,優等,,
15,臺北市私立德寶老人養護所,10351,臺北市大同區長安西路78巷4弄11號1-4樓,02-25522062,,乙等,,,
16,臺北市私立祥安尊榮老人長期照顧中心(養護型),10376,臺北市大同區延平北路3段4號2樓,02-25860098,,,甲等,,
17,臺北市私立永安老人養護所,10372,臺北市大同區重慶北路3段284號1-4樓、286號1-4樓,02-25980197,,,甲等,,
18,臺北市私立晉安老人長期照顧中心(養護型),10369,臺北市大同區重慶北路3段175、177號1~4樓,02-25982301,,,甲等,,
19,臺北市私立建興老人長期照顧中心(養護型),10346,臺北市大同區甘州街55號2樓,02-25520199,,,甲等,,
