hosp_name,hosp_addr,phone,district,latitude,longitude,ratio
臺北市至善老人安養護中心,臺北市士林區仰德大道2段2巷50號,02-28832666*153,士林區,25.121129,121.552435,0.41886685
臺北市私立永青老人長期照顧中心(養護型),臺北市士林區中山北路六段427巷8號1-4樓,02-28761908,士林區,25.112281,121.526327,0.41886685
臺北市私立松園老人長期照顧中心(養護型),臺北市士林區德行東路61巷1、2、3號1、2樓,02-88662097,士林區,25.107691,121.526793,0.41886685
臺北市私立柏安老人養護所,臺北市士林區中山北路6段290巷52號、54號1樓,02-28333536,士林區,25.083176,121.525992,0.41886685
臺北市私立祇福老人養護所,臺北市士林區忠誠路2段10巷11號、13號1-2樓,02-28317713,士林區,25.114654,121.532261,0.41886685
臺北市私立祐心老人長期照顧中心(養護型),臺北市士林區至誠路1段305巷3弄14號1-2樓,02-28310432,士林區,25.091954,121.524567,0.41886685
臺北市私立上美老人長期照顧中心(養護型),臺北市士林區重慶北路4段162號1-4樓,02-28122366,士林區,25.076063,121.513123,0.41886685
臺北市私立荷園老人長期照顧中心(養護型),臺北市士林區葫蘆街33號2~3樓,02-28163696,士林區,25.024913,121.511415,0.41886685
臺北市私立璞園老人長期照顧中心(養護型),臺北市士林區葫蘆街33號4、5、6樓,02-28163696,士林區,25.079975,121.50972,0.41886685
臺北市私立天玉老人長期照顧中心(長期照護型),臺北市士林區天玉街38巷18弄18號1-6樓,02-28720239,士林區,25.120287,121.529656,0.41886685
臺北市私立敦煌老人長期照顧中心(養護型),臺北市大同區敦煌路80巷3號及3-1號1樓,02-25945133,大同區,25.075218,121.517595,5.443571435
臺北市私立建順老人長期照顧中心(養護型),臺北市大同區甘州街55號3樓,02-25520199,大同區,25.059779,121.512844,5.443571435
臺北市私立仁家老人長期照顧中心(養護型),臺北市大同區甘州街55號5~6樓,02-25530799,大同區,25.059779,121.512844,5.443571435
臺北市私立慧光老人養護所,臺北市大同區寧夏路32號5樓,02-25582275,大同區,25.055994,121.515171,5.443571435
臺北市私立德寶老人養護所,臺北市大同區長安西路78巷4弄11號1-4樓,02-25522062,大同區,25.050031,121.518471,5.443571435
臺北市私立祥安尊榮老人長期照顧中心(養護型),臺北市大同區延平北路3段4號2樓,02-25860098,大同區,25.085583,121.509189,5.443571435
臺北市私立晉安老人長期照顧中心(養護型),臺北市大同區重慶北路3段175、177號1~4樓,02-25982301,大同區,25.054346,121.514513,5.443571435
臺北市私立建興老人長期照顧中心(養護型),臺北市大同區甘州街55號2樓,02-25520199,大同區,25.059779,121.512844,5.443571435
臺北市私立祥寶尊榮老人長期照顧中心(養護型),臺北市大同區太原路97巷4、6號1-5樓,02-25501118,大同區,25.049049,121.51569,5.443571435
臺北市私立上上老人養護所,臺北市大安區復興南路1段279巷14號、16號1樓,02-27032223,大安區,25.03012,121.544277,1.210623069
臺北市私立天恩老人長期照顧中心(養護型),臺北市大安區新生南路3段7-4號、9-4號、9-5號,02-23620457,大安區,25.024603,121.534075,1.210623069
臺北市私立松湛園老人養護所,臺北市中山區錦州街4巷1號2樓及2樓之1,02-25652281,中山區,25.059957,121.523545,1.930008334
臺北市私立松青園老人養護所,臺北市中山區民生西路30號2樓、2樓之1~4,02-25110903,中山區,25.057639,121.521633,1.930008334
臺北市私立仁群老人長期照顧中心(養護型),臺北市中山區民族東路512巷14號1-2樓、16號2樓,02-25013369,中山區,25.066886,121.543612,1.930008334
臺北市私立龍江老人長期照顧中心(養護型),臺北市中山區長安東路1段63號4樓 ,02-25672208,中山區,25.064762,121.53317,1.930008334
臺北市私立法泉老人長期照顧中心(養護型),臺北市中山區八德路2段251號2樓,02-87731706,中山區,25.046498,121.538014,1.930008334
臺北市私立晨欣老人長期照顧中心(養護型),臺北市中山區中山北路2段96巷19號3樓,02-25365888,中山區,25.051438,121.521853,1.930008334
臺北市私立群仁老人長期照顧中心(養護型),臺北市中山區民族東路512巷14號3~5樓,02-25010048,中山區,25.067401,121.543087,1.930008334
臺北市私立福成老人長期照顧中心(養護型),臺北市中山區松江路374、380、382號4樓,02-25982507,中山區,25.061122,121.533262,1.930008334
臺北市私立福喜老人長期照顧中心(養護型),臺北市中山區松江路374、380、382號7樓,02-25919087,中山區,25.061122,121.533262,1.930008334
臺北市私立博愛老人長期照顧中心(養護型),臺北市中正區汀州路3段56號2樓,02-23671050  02-23671819,中正區,25.013686,121.533477,1.897358003
臺北市私立明德老人長期照顧中心(養護型),臺北市中正區紹安街220巷2號、4號1樓,02-23090381 ,中正區,25.026297,121.509232,1.897358003
臺北市私立大園老人長期照顧中心(養護型),臺北市中正區新生南路1段124之3號1-4樓,02-33931661,中正區,25.035318,121.53158,1.897358003
臺北市私立童音老人長期照顧中心(養護型),臺北市內湖區民權東路6段280巷19弄1、3、5、7號1樓,02-26345131  ,內湖區,25.069103,121.596854,0.467225497
臺北市私立銀髮族老人養護所,臺北市內湖區成功路2段488號2、3樓及490號2樓,02-27926006,內湖區,25.075744,121.607888,0.467225497
臺北市私立祥家老人養護所,臺北市內湖區內湖路二段253巷1弄1、3號1~2樓,02-27922281,內湖區,25.082335,121.5897,0.467225497
臺北市私立湖濱老人長期照顧中心(養護型),臺北市內湖區內湖路2段179巷58、60號1樓,02-27933081,內湖區,25.079269,121.579618,0.467225497
臺北市私立文德老人長期照顧中心(養護型),臺北市內湖區陽光街70之3、72之1號1樓,02-26581303,內湖區,25.074048,121.579858,0.467225497
臺北市私立慧誠老人長期照顧中心(養護型),臺北市文山區木柵路2段163、165號1-4樓,02-29392222,文山區,24.998205,121.574431,0.886292428
臺北市私立心慈老人養護所,臺北市文山區辛亥路5段120之1號1-4樓,02-29314730,文山區,24.981545,121.55474,0.886292428
臺北市文山老人養護中心,臺北市文山區興隆路2段95巷8號3-6樓,02-89313190,文山區,24.99769,121.5582,0.886292428
臺北市兆如老人安養護中心,臺北市文山區政大二街129號,02-86616365,文山區,24.989314,121.584191,0.886292428
臺北市私立蓮馨老人長期照顧中心(養護型),臺北市文山區萬和街6號8樓,02-82300373,文山區,25.001951,121.567321,0.886292428
臺北市政府社會局老人自費安養中心,臺北市文山區興隆路4段109巷30弄6號,02-29393147,文山區,24.998518,121.558037,0.886292428
臺北市私立美安老人長期照顧中心(養護型),臺北市文山區溪口街1巷5號3-4樓,02-29316388,文山區,24.994113,121.539913,0.886292428
