地點位置,管轄分局,latitude,longitude
臺北市大同區捷運中山站,大同分局,25.05236,121.52212
臺北市大同區捷運大橋頭,大同分局,25.06314,121.51308
臺北市中山區捷運中山國小站,萬華分局,25.0627171,121.5259149
臺北市中山區捷運松江南京站,中山分局,25.0520603,121.533289
臺北市大安區捷運忠孝敦化站,大安分局,25.0432131,121.5491519
臺北市中正區捷運臺北車站,中山分局,25.04821,121.51903
臺北市中正區臺灣民主紀念園區,中正第一分局,25.0358492,121.5200366
臺北市中正區捷運古亭站,中正第一分局,25.02694,121.52224
臺北市士林區捷運劍潭站,中正第二分局,25.0848879,121.5247122
臺北市北投區捷運新北投站,北投分局,25.1369185,121.5025817
臺北市松山區捷運南京三民站,松山分局,25.05129,121.56426
臺北市文山區捷運萬芳醫院站,文山第二分局,24.9991506,121.5577838
臺北市南港區捷運南港展覽館站,南港分局,25.0553307,121.6178547
臺北市內湖區內湖路一段667巷,內湖分局,25.0806114,121.5760858
