name,address,lon,lat,phone,description,english_friendly,japanese_friendly,korean_friendly,mobile_charging,accessibility_friendly,gender_friendly,digital_payment_friendly,vegetarian_friendly,restroom_friendly,fair_trade_friendly,free_wifi,bike_friendly,breastfeeding_friendly,muslim_friendly,menstruation_friendly,friendly_feature_count
采芊文創,臺北市信義區忠孝東路四段553巷22弄53號1樓,121.563452,25.043341,02-2746-0153,提供教學舞台，並招募工藝領域的年輕人才，共同創造優質工藝創作環境。,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,5
吐司股長 松菸文創店,"臺北市信義區忠孝東路四段553巷
6弄8之1號",121.563203,25.042213,02-2764-9060/徐先生0937079009,以特色古早味碳烤吐司引發排隊熱潮，店內佈置宛如80年代教室，走進時空品嚐傳統美味和歲月的美好，堅持帶給大家80年代的味道，樸實而單純的美味。,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4
新東陽三越信義專櫃,"臺北市信義區松壽路11號B2
(新光三越A11館)",121.56728,25.036072,02-2722-7526/總公司02-2772-6222＃957(郭小姐),新東陽以推動中華美食精緻化，國際化的精神標竿為企業目標，打造”來台必買、出國必帶、台灣特產第一品牌”的企業形象，帶給消費者優質的購物體驗。,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,9
藤香厚工豆花,臺北市信義區吳興街113號,121.561179,25.030158,02-2345-3222/0932-233-058(廖店長),豆花滑順綿密、入口即化的口感，加上如蜜般香甜的 特製火炒焦糖，絕對一碗接一碗。還有創新「豆花五重奏」，鹹甜口感顛覆你對的想像呦!,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3
太平洋商旅,臺北市信義區光復南路495號11樓,121.557885,25.03246,02-8780-8000,備有中西式如意廳、會議室、交誼廳及健身房等多項設施，結合了差旅住宿、餐飲服務、商務辦公以及會議空間。,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,8
肉伯火雞肉飯,臺北市信義區信義路四段405號,121.558884,25.033256,02-8780-3388,CNN推薦必吃台南在地美食台北分店，以每日現煮火雞肉搭配白飯淋上雞油高湯，香甜不油膩。除了正宗火雞肉飯，另有五種配湯，其中以扁魚白菜湯更是南部傳統古早味，最受喜愛。,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
鬍鬚張台北北醫店,臺北市信義區吳興街251號,121.563668,25.027235,02-2758-8567/總公司:02-2298-2185＃232(行企部劉副理),"「鬍鬚張魯肉飯」創立於1960年，秉持『傳統美食，追求幸福』的創業初衷，從路邊攤創起，以發揚台灣美食文化為職志，不斷的做中學，以品質、口味、服務、衛生為基礎，提供安全美味的產品，整潔親切的用餐環境與氛圍的餐廳。
鬍鬚張以「誠信篤實」、「追求卓越」、「顧客滿意」、「永續成長」為經營理念，以「以人為本」、「人才培育」、「賞罰分明」、「成果分享」為管理原則，並致力於『將魯肉飯販賣到全世界都知道』的企業願景實踐。",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
裕珍馨台北101專櫃,台北市信義區信義路五段7號B1專櫃,121.564604,25.033524,02-8101-7670,"一首籤詩，六個聖筊，在媽祖的祝福下，糕餅門外漢陳基振開啟了「裕珍馨」與「奶油酥餅」的傳奇。 
走過半個世紀，裕珍馨，奶油酥餅的創始者，始終秉持著最初的用心與傳統工藝，隨著時代進步，加入更多的創新概念，嚴選更優質的健康素材，以細緻的製餅工藝，揉出奶油酥餅每一口的香酥濃郁，更揉入了深深的關心與祝福。 
製餅是使命，也是文化的傳承，裕珍馨把對所有愛護者的感念，化成堅持與用心，以誠信、負責、惜福的心，繼續延續最道地的好滋味。",1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,7
新東陽101專櫃,臺北市信義區市府路45號B1,121.563903,25.034026,02-8101-8380/總公司02-2772-6222＃957(郭小姐),新東陽101專櫃位於台北101 B1。 門市主要販售新東陽各式肉鬆、肉乾、糕點、鳳梨酥、各式休閒零嘴、以及精選台灣各地的土特產、與進口的日/韓等地商品，商品豐富應有盡有。 新東陽以推動中華美食精緻化，國際化的精神標竿為企業目標，堅守著誠信、踏實、積極、創新的四大理念在地化經營，打造”來台必買、出國必帶、台灣特產第一品牌”的企業形象，帶給消費者優質的購物體驗。 2010年台灣食品消費調查統計年鑑報導:新東陽肉乾、肉鬆、肉醬等系列商品均為消費者最常選購的品牌第一名，因此有肉品王國的美譽 2011年更獲得台灣百大品牌之殊榮 我們提供多元化的媒體付款服務，包含Apple Pay、Samsung Pay與即時線上支付卡-銀聯卡。 同時，也可免費申辦加入新東陽會員，立即享有紅利點數回饋商品，還有專屬會員的活動，讓您輕鬆集點，購物享優惠，更多的優質商品，歡迎您蒞臨門市參觀選購。,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,8
有機緣地-松山店,臺北市信義區虎林街83號1樓,121.577268,25.044899,02-8787-2429/公司:02-2657-7333,提供有機天然食品飲料，健康安心肉品、天 然保健食品與時尚機能服飾。,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5
ALL IN ONE 餐廳,臺北市信義區基隆路一段101巷23號,121.568091,25.044604,02-2767-7058,"我們一直以  為朋友，家人做菜為出發點，

可透過溝通來量身打造餐點，與其做華而不實的餐點

不如用輕鬆自在的料理，讓顧客常訪.....",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
小隱茶庵 - 信義店,臺北市信義區信義路五段150巷14弄8號1樓,121.569488,25.02841,02-2723-8520,"“Lily 也提到的店名的由來，「小隱的隱字，來自於植物；植物總是先向下扎根，才往上開出花朵，隱的意象就是過程，如同人生的眾多階段裡，其中一個過程是「隱」。那個隱能激發出之後更多的夢想與想像。」”

“小隱茶庵，是期望構築一個讓人能沈思、放鬆，與心靈有關的所在”

“「在小隱，我們把泡茶形式簡化，以壺、茶海、茶杯為單位的形式呈現，不用繁瑣的步驟，讓人們能簡單體驗泡茶的樂趣，也仍可保留茶道儀式感及文化底蘊。」”",1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,10
瑰夏咖啡,臺北市信義區忠孝東路五段372巷27弄1號1樓(玻璃屋),121.574147,25.039771,0917 220 661,"專注於烘豆工作，給您最好的咖啡體驗
以誠信為本、專業品質、服務態度為理念
做好品牌形象，並積極提升價值。
咖啡教學、分享、咖啡豆販賣、濾掛咖啡",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
青春雞,臺北市信義區吳興街359-13號1樓,121.566233,25.026202,02-2729-1996,"一個提供吃飽喝足看展回憶青春的去處！
#青春雞
#我們的雞是青春",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
天食地栗,台北市信義區基隆路二段33之3號1樓,121.558837,25.031499,02-2738-5385,"以油品為首，匯集歐洲各式食材好物。嚴選小農制莊園級橄欖油，展現歐陸生活飲食態度。
珍選好油、好水、好酒、好食，產地送來風土與陽光，歐洲農莊到台灣廚房，每一餐都是味覺天堂。",1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,5
AN58歐陸小酒館,台北市松山區慶城街1號2樓,121.544632,25.052761,02-2506-0616,交通方便，西班牙精緻美食料理，食材新鮮，開放式廚區設計，異國風餐點與瓷器，座位寬敞。,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,6
九華樓,台北市中山區樂群三路303號3樓,121.559866,25.082719,0903-083-308/02-2581-8111#6625,純正粵菜，由國寶級御廚，擅長廣式「鮑、參、翅、肚」頂級料理，以嚴謹與細膩的態度，讓美食成為體驗味覺、嗅覺、視覺的三重享受。,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,8
