醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,行政區,市,lng,lat,類型
401190010,國立臺灣大學醫學院附設醫院北護分院,綜合醫院,(02)23717101,臺北市萬華區康定路３７號,萬華區,臺北市,121.502781,25.043829,地區醫院
701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,慢性醫院,(02)28587000,臺北市北投區知行路２２５巷１２號,北投區,臺北市,121.466358,25.120188,地區醫院
901020013,中山醫療社團法人中山醫院,綜合醫院,(02)27081166,臺北市大安區仁愛路４段１１２巷１１號,大安區,臺北市,121.554878,25.036936,地區醫院
901180023,郵政醫院（委託中英醫療社團法人經營）,醫院,(02)23956755,臺北市中正區福州街１４號,中正區,臺北市,121.518695,25.028749,地區醫院
901190010,西園醫療社團法人西園醫院,綜合醫院,(02)23076968,臺北市萬華區西園路２段２６６～２７４號,萬華區,臺北市,121.490688,25.026373,地區醫院
1101020027,中心診所醫療財團法人中心綜合醫院,綜合醫院,(02)27510221,臺北市大安區忠孝東路４段７７號,大安區,臺北市,121.61258,25.053227,地區醫院
1101020036,宏恩醫療財團法人宏恩綜合醫院,綜合醫院,(02)27713161,臺北市大安區仁愛路４段７１巷１號,大安區,臺北市,121.554878,25.036936,地區醫院
1101110026,康寧醫療財團法人康寧醫院,綜合醫院,(02)26345500,臺北市內湖區成功路５段４２０巷２６號,內湖區,臺北市,121.604661,25.084202,地區醫院
1301110511,中國醫藥大學附設醫院臺北分院,綜合醫院,(02)27919696,臺北市內湖區內湖路２段３６０號,內湖區,臺北市,121.579618,25.079269,地區醫院
1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,醫院,(02)23021133,臺北市萬華區廣州街２００、２４３號,萬華區,臺北市,121.497742,25.036753,地區醫院
1401190039,同仁院醫療財團法人萬華醫院,慢性醫院,(02)23059292,臺北市萬華區中華路２段６０６巷６號,萬華區,臺北市,121.509194,25.047845,地區醫院
1501010010,博仁綜合醫院,綜合醫院,(02)25786677,臺北市松山區光復北路６６、６８號,松山區,臺北市,121.560522,25.050081,地區醫院
1501010029,培靈醫院,精神科醫院,(02)27606116,臺北市松山區八德路４段３５５號,松山區,臺北市,121.555025,25.047722,地區醫院
1501021219,秀傳醫院,醫院,(02)27717172,臺北市大安區光復南路１１６巷１、３、５號,大安區,臺北市,121.55571,25.03982,地區醫院
1501100037,協和婦女醫院,醫院,(02)25072222,臺北市中山區松江路８５巷５號,中山區,臺北市,121.533941,25.050274,地區醫院
1501101141,泰安醫院,慢性醫院,(02)25251111,臺北市中山區民權東路２段９２巷２－１號,中山區,臺北市,121.597007,25.069061,地區醫院
1501201020,景美醫院,醫院,(02)29331010,臺北市文山區羅斯福路６段２８０號,文山區,臺北市,121.539713,25.00105,地區醫院
1701110019,德威國際牙醫口腔醫院,牙醫醫院,(02)27990123,臺北市內湖區內湖路１段６５９號,內湖區,臺北市,121.581919,25.079141,地區醫院
101090517,臺北市立聯合醫院,綜合醫院,(02)25553000,臺北市大同區鄭州路１４５號,大同區,臺北市,121.508885,25.050693,區域醫院
401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,醫院,(02)23220322,臺北市大安區基隆路３段１５５巷５７號,大安區,臺北市,121.553373,25.02554,區域醫院
501010019,三軍總醫院松山分院附設民眾診療服務處,綜合醫院,(02)27642151,臺北市松山區健康路１３１號,松山區,臺北市,121.557702,25.05394,區域醫院
501160014,三軍總醫院北投分院附設民眾診療服務處,醫院,(02)28959808,臺北市北投區新民路６０號,北投區,臺北市,121.509688,25.13989,區域醫院
1101010021,基督復臨安息日會醫療財團法人臺安醫院,綜合醫院,(02)27718151,臺北市松山區八德路２段４２４、４２６號,松山區,臺北市,121.549348,25.047843,區域醫院
1101160017,振興醫療財團法人振興醫院,綜合醫院,(02)28264400,臺北市北投區振興街４５號,北投區,臺北市,121.523114,25.116369,區域醫院
1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,綜合醫院,(02)66030576,臺北市北投區立德路１２５號,北投區,臺北市,121.472008,25.128341,區域醫院
1301170017,臺北醫學大學附設醫院,綜合醫院,(02)27372181,臺北市信義區吳興街２５２號,信義區,臺北市,121.563635,25.026639,區域醫院
401180014,國立臺灣大學醫學院附設醫院,綜合醫院,(02)23123456,臺北市中正區中山南路７、８號,中正區,臺北市,121.517564,25.04536,醫學中心
401180023,國立臺灣大學醫學院附設醫院兒童醫院,綜合醫院,(02)23123456,臺北市中正區中山南路８號,中正區,臺北市,121.518748,25.044343,醫學中心
501110514,三軍總醫院附設民眾診療服務處,綜合醫院,(02)87923311,臺北市內湖區成功路２段３２５號,內湖區,臺北市,121.597624,25.08718,醫學中心
601160016,臺北榮民總醫院,綜合醫院,(02)28712121,臺北市北投區石牌路２段２０１號,北投區,臺北市,121.516252,25.112364,醫學中心
1101010012,長庚醫療財團法人台北長庚紀念醫院,綜合醫院,(02)27135211,臺北市松山區敦化北路１９９、１９７號,松山區,臺北市,121.55147,25.054255,醫學中心
1101020018,國泰醫療財團法人國泰綜合醫院,綜合醫院,(02)27082121,臺北市大安區仁愛路４段２８０號,大安區,臺北市,121.554878,25.036936,醫學中心
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,綜合醫院,(02)25433535,臺北市中山區中山北路２段９２號,中山區,臺北市,121.521853,25.051438,醫學中心
1101100020,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,綜合醫院,(02)25433535,臺北市中山區中山北路２段９２號,中山區,臺北市,121.521853,25.051438,醫學中心
1101150011,新光醫療財團法人新光吳火獅紀念醫院,綜合醫院,(02)28332211,臺北市士林區文昌路９５號,士林區,臺北市,121.520986,25.09625,醫學中心
1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,綜合醫院,(02)29307930,臺北市文山區興隆路３段１１１號,文山區,臺北市,121.558222,24.993743,醫學中心
