醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,類型
131060010,衛生福利部樂生療養院,醫院,(02)82006600,新北市新莊區中正路７９４號及桃園縣龜山鄉萬壽路１段５０巷２號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,精神病患者居家照護,義肢業務,胸部低劑量電腦斷層檢查,精神科日間住院治療,腹膜透析業務","家醫科,內科,外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,神經科,精神科,復健科,急診醫學科,牙科,中醫一般科,麻醉科,放射線科",20250706.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診提供24小時服務，門診開診日及開診科別依本院門診表公告為準。,65000,19950707,地區醫院
401190010,國立臺灣大學醫學院附設醫院北護分院,綜合醫院,(02)23717101,臺北市萬華區康定路３７號、臺北市萬華區內江街８７號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,腹膜透析業務","家醫科,內科,兒科,婦產科,耳鼻喉科,眼科,神經科,精神科,復健科,牙科,麻醉科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,19950301,地區醫院
431270012,國立臺灣大學醫學院附設醫院金山分院,醫院,(02)24989898,新北市金山區五湖里玉爐路７號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,腹膜透析業務","不分科,家醫科,內科,外科,兒科,骨科,泌尿科,神經科,復健科,急診醫學科,牙科,放射線科",20250930.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20101001,地區醫院
701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,慢性醫院,(02)28587000,臺北市北投區知行路２２５巷１２號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","家醫科,內科,神經科,精神科,復健科,牙科,中醫一般科,放射診斷科",20250717.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診看診時間:0800-2200,63000,20000718,地區醫院
901020013,中山醫療社團法人中山醫院,綜合醫院,(02)27081166,臺北市大安區仁愛路４段１１２巷１１號、１２號,臺北業務組,3,"復健－物理治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,復健科,整形外科,牙科,麻醉科,放射腫瘤科,放射診斷科,解剖病理科",20251231.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,提供２４小時急診服務,63000,20070101,地區醫院
901180023,郵政醫院（委託中英醫療社團法人經營）,醫院,(02)23956755,臺北市中正區福州街１４號,臺北業務組,3,"復健－物理治療業務,門診診療,住院診療","內科,外科,骨科,泌尿科,眼科,皮膚科,神經科,復健科,麻醉科,放射診斷科",20270812.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,63000,20150813,地區醫院
901190010,西園醫療社團法人西園醫院,綜合醫院,(02)23076968,臺北市萬華區西園路２段２６６～２７４號、１８５、１８７號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,急診醫學科,牙科,麻醉科,放射診斷科",20270531.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,63000,20180601,地區醫院
931010016,中英醫療社團法人中英醫院,醫院,(02)22563584,新北市板橋區文化路１段１９６號１－４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查","內科,外科,骨科,泌尿科,復健科,牙科,麻醉科,放射診斷科",20251130.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,20071201,地區醫院
931010025,中英醫療社團法人板英醫院,醫院,(02)82513923,新北市板橋區文化路１段２６７、２６９、２７１號１－４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,復健科",20260630.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20090701,地區醫院
931050010,怡濟慈園醫療社團法人宏濟神經精神科醫院,精神科醫院,(02)22118899,新北市新店區安忠路５７巷５號,臺北業務組,3,"門診診療,住院診療",精神科,20250706.0,星期一上午休診、星期二上午休診、星期三上午看診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,5／1勞動節休診。,65000,20160707,地區醫院
